# Candidates — every song we want on a card and do not have yet.
# Generated by ImportCharts (make import-charts). One list: SK charts,
# CZ charts and wishlist entries all merged, best-charting first.
#
# To finish a song: paste its Spotify link into the link column, then
# move the first four fields into data/songs.csv and drop the line here.
# `make cards` validates every link, so a typo cannot reach a card.
#
# Sources:
#   data/candidates.csv (421 songs)
#
# Format: title;artist;year;link;charts;best-position;weeks;publisher
# The first four columns are the data/songs.csv shape: fill in year and
# link, then copy those four fields across and delete the line here.

Každý deň budú vraj Vianoce;LOJZO & MIRO ŽBIRKA;2007;https://open.spotify.com/track/1Brkebdy1SrMFIUK5QIU4Q
Chlap z kríža;ŠKAMPI NA ŽARU;;
Sliby se maj plnit o Vánocích;JANEK LEDECKÝ;1993;https://open.spotify.com/track/6NrF748CUGYJ7wS7GXUL7r
Naše cesty;MAREK ZTRACENÝ;2018;https://open.spotify.com/track/3NIXc097uc92QNraPOQA8K
Na nebi svítí;DAN BÁRTA;2007;https://open.spotify.com/track/1p7phV7ph1aeHvoIvSgIAG
Najkrajsie Vianoce;IVAN TÁSLER & IMT SMILE;;
Všechno je v pořádku;O5 & RADEČEK;2024;
Tři oříšky;IVETA BARTOŠOVÁ;1998;https://open.spotify.com/track/6Da7bx1uRTEhPqyMmxexYa
Zima na saniach;MICHAL DOČOLOMANSKÝ;1993;https://open.spotify.com/track/67aKoX7wjODulBVTFC2b5B
OTCHI;MIRAI;2019;
My Last Song;CELESTE BUCKINGHAM;;
Beyond The Stars;DOMMI;;
Someone New;DOMI BAND;;
Vianočná;MIRO ŽBIRKA;2019;https://open.spotify.com/track/6OkEPwKbjlZTOvCheJcJEH
Hory;O5 & RADEČEK;2023;
Ain&039,t In LA;ADÉLA;;
Mlha za duhou;JIŘINA ANNA JANDOVÁ;;
PERPETUUM MOBILE;EWA FARNA;2026;https://open.spotify.com/track/7wxWwq6Pah4Y6mqsvEWTCa
Bella ciao;ŠKAMPI NA ŽARU;;
Lover;LENNY;2016;
Brány svaté (Halellujah);OLGA LOUNOVÁ;2014;https://open.spotify.com/track/49eI2LGcMekIhIUWNTvHbN
ILLUMIN8;DIANAH KAY;;
Kluk z plakátu;VÁCLAV NECKÁŘ & PATRICIE;2016;
Vánoční hymna;E2 CREW;;
Vianočný Karol;HEX;1998;https://open.spotify.com/track/0mUx3FpYjQ6kKKBurouhaf
V dolinách;MARK VOSS feat. KAROL DUCHOŇ;2023;https://open.spotify.com/track/4I9no55FPokWqltnCbcVDL
Hej, sokoly!;I.M.T. SMILE & ONDREJ KANDRÁČ;2017;https://open.spotify.com/track/1iHDQ530nvzDVCjWVftfdQ
Drive (Ruhde Remix);CELESTE BUCKINGHAM;2022;https://open.spotify.com/track/6KTouQWPiFLZOURwcj2JWh
BRA3;O5 & RADEČEK;2021;
Deň, čo mal dávno prísť;GLADIATOR;2018;
Ryba rybě;JANEK LEDECKÝ;1996;https://open.spotify.com/track/7zTFcEEtyeKxvRUrPIHT49
Ave Maria;LUCIE BÍLÁ;2004;https://open.spotify.com/track/3dygxwcYtz0VAEg3N66oLp
So In Love;NELA;2013;
heavy hearts;eli;2020;
Kdy vzlétnu já;LUCIE VONDRÁČKOVÁ;2013;
Nepočítej léta, počítej přátele;NO NAME & TEREZA MAŠKOVÁ;2026;https://open.spotify.com/track/724E1sIAzSSZlt1kvEAyBv
Vzkaz v láhvi;LUCIE VONDRÁČKOVÁ;2021;https://open.spotify.com/track/5NsqfL5Lz3jNA5x1Y1mveU
Fight4you;MARTIN HARICH;;
Štědrej večer nastal;XINDL X;;
I&039,m Not Sorry;CELESTE BUCKINGHAM;;
Society;MIROSLAV ŽBIRKA & KATKA KNECHTOVÁ;;
Tichá noc;JOSEF BOHOUŠ;;
Stín katedrál;SHALOM;1995;https://open.spotify.com/track/4Lsg2RrfUDU1Ez4esQ24S0
Buena Onda (feat. Eusebio);DROZĎO & DEMEX;2018;
Jsou svátky;KAREL GOTT;1976;https://open.spotify.com/track/5ZI71VeOBFQ8DLF9YW4K1W
Večer velkých přání;KATEŘINA BROŽOVÁ;;
Klid, mír a pokora;MÜLLER RICHARD & KERNDLOVÁ TEREZA;;
Vzácnej den;ANNA K.;1995;https://open.spotify.com/track/5J4Ul2CcLMRctFJuCu42Zq
Hands Up;CALL ME STEVE;;
Kdepak, ty ptáčku, hnízdo máš?;KAREL GOTT;1974;https://open.spotify.com/track/0FCCrsgjgqsaqg401j0Bxj
Zvonky štěstí;KAREL GOTT;1984;https://open.spotify.com/track/7m3RFdvEMjDiSJbIUld06r
Marie;LUCIE;1994;https://open.spotify.com/track/5pzRCkHiDiQMcqf4ocgA3t
Hana;LUCIE BÍLÁ;1994;https://open.spotify.com/track/47aTs70adf42fafL76XUv2
Zpíváš mi Requiem;LUCIE BÍLÁ;1998;https://open.spotify.com/track/0uFLFQb3cuQ1jHlgA9Igtl
I WANNA KEEP U DANCIN&039,;MATEJ SMUTNÝ;;
Hvězda;PETR BENDE;2005;https://open.spotify.com/track/3Gpqy2KTN1au0TOjxShqod
Čas sviečok;ROBO OPATOVSKÝ & JANA KIRSCHNER;2003;https://open.spotify.com/track/3TzZIqZlG6C8J2MpvB51YT
Movin&039, On;SUPPORT LESBIENS;;
Všetky oči na mne;MAJK SPIRIT;2013;
Keď ťa stretnem;PARA;2004;https://open.spotify.com/track/1KBqdTRXfc9t6iH1sEfGSU
Beautiful When You Smile;SZABO PETER & TOMAS;2013;
Síť;DIVOKEJ BILL;2006;https://open.spotify.com/track/2aLGQrqrch3nM4JkPiArLa
Merry Christmas;MILFAJTOVÁ SÁRA & VOLGEMUT PETR;;
Vánoce hrajou glóriá;PETR KOTVALD;;
The Room of Ghosts;ELEVENHILL;2015;
I&039,m Your Woman;ELIS MRAZ;;
Jdem dál;NEW ELEMENT;2016;
Vánoční svařák;WALDA GANG;;
Purpura;SUCHÝ JIŘÍ;;
R n´B soul;HORKÝŽE SLÍŽE;2007;https://open.spotify.com/track/0sxE814IZSFiGB06ozzlh7
Protože to nevzdám;RŮZNÍ;;
Mám krásny sen;I.M.T.SMILE;2009;https://open.spotify.com/track/2I1FDuqUWnjqxyPBXNpIc3
She&039,s Mine;ANDIE J;;
Purpura;DAMIENS;2003;https://open.spotify.com/track/0zUStK1Ua9N9iGbhvoVoZu
Protestsong;Daniel Landa;1997;https://open.spotify.com/track/1HoB8g1HAQx3s9V4LrrC6X
Valčík;Daniel Landa;1996;https://open.spotify.com/track/2UR8y3OgklHNfH0jwS7yKX
Domov;Ego;2012;
Žijeme len raz;Ego;2013;https://open.spotify.com/track/7LzBwJcyGhFzlIhdfsoS1j
Backwards;Emma Drobná;2015;
Máš mě?;Ilona Csakova;1996;
Zvedneme kotvy;Ilona Csakova;1997;
A je to!;Iveta Bartošová;1990;
Andulko, vem si mě;Iveta Bartošová;1985;
Hej pane diskžokej;Iveta Bartošová;1986;https://open.spotify.com/track/0kKpg6gx9DhqguRCZDWKdz
Knoflíky lásky;Iveta Bartošová;1985;https://open.spotify.com/track/1tVpxgZzeHoMyW0T7kbHfz
Konec sezóny;Iveta Bartošová;1990;
Láska je láska;Iveta Bartošová;1988;
Malovaný džbánku;Iveta Bartošová;1987;
Peklo v nás;Jana Kirschner;2013;
Bola raz jedna láska;Kali;2013;
Pije Jano, pije;Kandráčovci;2014;
Alenka v říši divů;Karel Zich;1983;https://open.spotify.com/track/6MJf1qhlOrHIDxre4HJrNG
Girlfriend;Karin Ann;2021;
Vzpomínky;Marek Ztracený;2013;
Kolej Yesterday;Michal Prokop;1984;https://open.spotify.com/track/3JebS2lADtsmctXt0hmpI4
Závidím;Naďa Urbánková;1969;https://open.spotify.com/track/56qPkxNHHAqpmViVG0IzsM
Karel nese asi čaj;Nerez;1987;
Masopust;Nerez;1988;https://open.spotify.com/track/0OnUP5WLWI397XoqE0f88T
Elá Hop;Peter Bič Project;2012;
Sen;Petr Muk;1997;
Motorest;Petra Janů;1979;https://open.spotify.com/track/0LVlZXEDzSQ4zJksobEg6g
Hodnej kluk;Pokáč;2018;
Lhůta;Slza;2015;
Pravda víťazí;Tublatanka;1988;https://open.spotify.com/track/5WgnRQLsRbhn2ut9yzYvla
Nashledanou;Tři sestry;1993;
Traktor;Visací zámek;1990;https://open.spotify.com/track/5pfD7fFiFicsF98LCS54zD
Jednou mi fantazie zavolá;Věra Špinarová;1977;
Jó, třešně zrály;Waldemar Matuška;1964;https://open.spotify.com/track/2uNOl7LMalyjchjKDzKqWq
Kokosy;Yo Yo Band;1993;
Nejde to vypnúť;Zuzana Smatanova;2004;
Pri oltári;Zuzana Smatanova;2010;
