# Music Cards song catalog — one physical card per line.
# Format: title;artist;year;spotify-link
# Generated by ImportPlaylists (make import); edit years freely, they
# come from the ALBUM release date and compilations are marked below.
Nikdo nejsme dokonalej;JOSEF VÁGNER;2016;spotify:track:5qF4Deuil8528c0pvimp8n
Srdcebeat;Kryštof;2015;spotify:track:4VcZGXmtAESfQPYKwpatfR
Dřevo;XINDL X;2018;spotify:track:0QLWnN85nMB6158j9qhO5A
Strasne Ma Bavi Tento Svet;Horkýže Slíže;2000;spotify:track:4fsU7VozBw4FTf6GfFLiZS
Měl bych si boty zout;CHINASKI;2022;spotify:track:6RemBk27D7U7S5UmgIXcfW
Ja Som To Vedel;Polemic;2000;spotify:track:4tSVepImRwS1aihhwG8OBD
Na vločce;ANNA K.;2023;spotify:track:3GmGf6g9pqp7sOKYGVRmlg
Ještě jednu noc;JELEN;2021;spotify:track:2jPnCJF0IvX7x9utW1MOfQ
Muoj boze;Katarina Knechtova;2012;spotify:track:5z4ne4806yqJEDNwPaek9z
Trnavské Blues;Bukasový Masív;2000;spotify:track:4tYpoeYyviqdL7XgWc1iTv
Mama mala pravdu;ZUZANA SMATANOVÁ;2026;spotify:track:3Vc23XeQKLWHMVionjMg2M
Kocka;Elán;2015;spotify:track:390amxxoYxg5NuiJn4laev
Mam na teba chut;Team;2002;spotify:track:5JrlXlDUNmytKazLJrcdj1
Co bude pak;KRYŠTOF;2021;spotify:track:33XX9Ezt5YhiEevrJXKK2n
Jeden team;PAVEL CALLTA;2015;spotify:track:022dJcLWQBB1ptniiRwIPP
Nemôžem Prestať;Medial Banana;2015;spotify:track:5fpW8YAgGN7I6oxhrG355V
Puberťák;XINDL X;2025;spotify:track:5BNSj1blvyelUhBRs9mjTF
Sprayer - Frayer;Michaela;1994;spotify:track:5oFs6uR8DqnOxj11sDaifr
Magnety;SLZA;2023;spotify:track:4cfVGcy1kvVKU0KPWjDgxE
Jede jede mašinka;Maxim Turbulenc;2000;spotify:track:3HDKtkC692SfQ67zw0ZzzU
Ovčia koža;Ploštín Punk;1999;spotify:track:4K07gGZ6oANugq5Bwld3J4
Burlaci;Kabát;2007;spotify:track:2pNUnN4DwHYhTQYp9AF7cQ
Učiteľka tanca;Pavol Hammel;1969;spotify:track:5ZvCgEzKCCcFW4MYfbiCwP
Kde Jsi;Dalibor Janda;2018;spotify:track:2EcRlQMkojjmWIfKOCMscX
Jsem optimista;OLGA LOUNOVÁ;2015;spotify:track:0iRS9NqaMYZri34aNaCYwz
Mandolína;Adam Ďurica;2015;spotify:track:1BhyOkmxVNENi1izd2uNVY
Srdce jako knize Rohan;Richard Muller;2012;spotify:track:3xzgPW7oLqnnh9sYuMP2uc
Vzhůru K Výškám;Helena Vondráčková;2003;spotify:track:6TCNpvEJ5BgrjuJFpsVhvc
Hrajte trúbky (feat. Boban & Marko Marković);Vidiek;2020;spotify:track:5ZCiWPrgxRlMKxRnRlDHBu
Krtek;Buty;1997;spotify:track:269G1bZFfWOmzqD3Stmy0s
Mam rad;Miro Žbirka;2001;spotify:track:3dy5oEu2K9ujwyJBd12fTZ
Fernet Cez Internet;Braňo Mojsej;2020;spotify:track:66Tyo1kn2XhHFuxjesisjX
Drzím ti miesto;Team;1990;spotify:track:24fH4vkx45SzfeWCRfSbuj
Nie sme zli;Elán;1982;spotify:track:0NCU0FURTapfzm7AqJGx5T
Bedna od whisky;Wanastowi Vjecy;1995;spotify:track:7AiEu1vJNYfXdZdlvsY3x0
Jahody Mražený;Jiří Schelinger;1975;spotify:track:5x0BspNjw6CDV66BV234zY
Smútok krásnych dievčat;Karol Duchoň;1982;spotify:track:0pn1B9yTktFRjeri37yF10
7 červených rúž;Hudobná skupina Perfect;2019;spotify:track:2qr07c5827YcXwfLdfjs7z
Never Stop Trying;TIMMY WHITE;2020;spotify:track:2pKFprBnLdQJT8vU0NkhHm
Hory medzi nami;BILLY BARMAN;2024;spotify:track:06aDsyf64rZlZv5X5iFoNe
Dlouha noc;Helena Vondráčková;2000;spotify:track:1RdVh1Ib2n2RxsAeagH7Lj
